career_id,career_name,core_skills,interests,personality_fit,description
1,Investment Analyst,Accounting;Finance;Financial Modeling;PowerPoint;Valuation;Marketing;Time Management;Video Editing,Markets;Analysis;Strategy;Teaching,INTJ;ISTJ,"Analyze companies, build models, and recommend investments."
2,Accountant,Accounting;ERP;Excel;Reporting;Taxation;Budgeting;Graphic Design;Negotiation,Compliance;Reporting;Detail;Service,ISTJ;ESTJ;ISFJ,"Prepare financial statements, manage taxes and compliance."
3,Financial Planner,Communication;Finance;Risk Management;Sales;Wealth Management;CAD,Client;Planning;Finance;Sales,ESTJ;ENTJ;ENFJ,"Advise clients on investments, insurance, and goals."
4,Risk Analyst,Compliance;Excel;Reporting;Risk Management;Statistics;Graphic Design;Hospitality;Leadership,Risk;Governance;Data;Sales,INTP;ISTJ,Quantify and manage financial/operational risks.
5,Economist,R;Research;Stata;Statistics;Writing;Data Analysis,Research;Policy;Data;Creativity,ENTP;INTP;INFJ;ESFJ,Study economic trends and evaluate policies.
6,Doctor (General Practitioner),Anatomy;Clinical Diagnosis;Communication;Patient Care;Pharmacology;ERP,Healthcare;People;Service;Operations;Compliance,ISFJ;INFJ;ISTJ,Diagnose and treat common illnesses; coordinate care.
7,Surgeon,Anatomy;Asepsis;Decision Making;Documentation;Teamwork;Logistics;Supply Chain;Video Editing,Healthcare;Precision;Emergency;Creativity,INTP;ISTJ;INTJ,Perform surgical procedures and manage perioperative care.
8,Nurse,Documentation;Empathy;Medication;Teamwork;Vitals;Public Speaking;Sales;Supply Chain,Care;Healthcare;Service;Operations;Creativity,ISFJ;ENFP;ISTJ,Provide nursing care and coordinate with healthcare teams.
9,Pharmacist,Counseling;Dispensing;Documentation;Inventory;Regulations;Creativity;Teamwork,Healthcare;Compliance;Service;Strategy;Teaching,INTJ;ISTJ;INTP,Dispense medications and advise on safe usage.
10,Physiotherapist,Anatomy;Assessment;Counseling;Exercise Therapy;Rehabilitation;Critical Thinking;Digital Marketing;Documentation,Care;Movement;Health;Operations,ENFP;ESTJ,Help patients recover mobility and function.
11,Lawyer (Litigation),Case Research;Drafting;Law;Negotiation;Public Speaking;Critical Thinking,Law;Advocacy;Strategy;Teaching;Field,ESFJ;INTJ;ESTJ;ENTP,"Argue cases, draft petitions, and advise clients."
12,Corporate Lawyer,Company Law;Compliance;Contracts;M&A;Negotiation;Statistics;Time Management,Law;Business;Strategy;Leadership,ENTJ;ENFP,Draft/negotiates contracts and handle corporate compliance.
13,Legal Analyst,Case Research;Compliance;Excel;Policy;Writing;Communication,Law;Research;Writing;Teaching,ESFJ;INTJ,Research legal issues and support attorneys.
14,Paralegal,Client Communication;Documentation;Drafting;Filing;Scheduling;Marketing;Photography,Law;Support;Detail;Creativity;Sales,INTP;ESTJ;ENFP,Support lawyers with documentation and prep.
15,Policy Analyst,Policy;Presentation;Research;Statistics;Writing;Event Management;Finance;Procurement,Policy;Research;Public;Teaching,ENFP;ESFJ,Evaluate policy options and impacts.
16,Political Campaign Manager,Budgeting;Communication;Field Operations;Leadership;Strategy;Event Management;Finance;Teamwork,Politics;Campaign;Public;Operations;Field,ESTJ;ESFJ,Plan and run political campaigns.
17,Civil Services Officer,Administration;Law;Management;Negotiation;Writing;Design Thinking;Documentation;Excel,Governance;Public;Leadership;Field,ENTP;INTP,Implement policies and manage public programs.
18,Diplomat/Foreign Service,Analysis;Languages;Negotiation;Protocol;Writing;Documentation;Teamwork,Policy;International;Public;Service,ENFP;ESFJ;ENTP,Represent the country and negotiate agreements.
19,Journalist,Editing;Fact-Checking;Interviewing;Reporting;Writing;Anatomy;Project Management;Teamwork,Media;Storytelling;Public;Service;Compliance,ISTJ;ESFJ,Report news and produce stories.
20,Video Editor,Audio;Color Grading;Editing;Premiere Pro;Storytelling;Creativity;Problem Solving;Public Speaking,Media;Creativity;Post-Production;Sales,ENFP;INTP;ESFJ,Edit video content and craft narratives.
21,Photographer,Client Communication;Editing;Lighting;Photography;Portfolio;Design Thinking;Pharmacology;Time Management,Media;Creativity;Art;Strategy,ENFP;ISFP,Shoot and edit photos for clients or media.
22,Music Producer,Collaboration;DAW;Mastering;Mixing;Sound Design;CAD;Customer Service;Finance,Music;Creativity;Production;Operations;Leadership,ESFJ;INTP;ESTJ;ENTP,Produce and polish music tracks.
23,Teacher (School),Assessment;Classroom Management;Communication;Lesson Planning;Subject Knowledge;Public Speaking;Quality Control;Risk Management,Education;Teaching;Mentorship;Sales,ISFJ;ESTJ,Teach and mentor students at school level.
24,Professor/Lecturer,Curriculum;Mentoring;Publications;Research;Teaching;Design Thinking;Rehabilitation,Education;Research;Teaching;Creativity,ENFP;ESTJ,Teach in college and publish research.
25,Instructional Designer,Authoring Tools;Pedagogy;Storyboarding;UX;Writing;ERP;Leadership;Public Speaking,Education;Design;Learning;Field;Teaching,ESTJ;ENFP;ESFJ;ENFJ,Design e-learning materials and curricula.
26,Sales Manager,CRM;Pipeline;Presentation;Sales Strategy;Targets;Design Thinking;Drafting;Finance,Sales;Business;Leadership;Compliance,ISTJ;ESTJ,Lead sales teams and manage revenue targets.
27,Business Development Executive,CRM;Follow-ups;Negotiation;Pitching;Prospecting;Leadership;PowerPoint,Sales;Growth;Client;Creativity;Operations,ESFJ;ENFJ;INTP;ESTJ,Acquire new clients and partnerships.
28,HR Generalist,Compliance;Employee Relations;Payroll;Policies;Recruitment;Anatomy,HR;People;Operations,ISTJ;ESTJ;ISFJ;ENFP,Handle HR ops and employee lifecycle.
29,Recruiter/Talent Acquisition,ATS;Coordination;Interviewing;JD Writing;Sourcing;Counseling,HR;Hiring;Communication;Compliance;Leadership,ESFJ;ENTP;INTP,Find and evaluate candidates for roles.
30,Operations Manager,Budgeting;KPIs;Leadership;Process Improvement;Scheduling;Accounting;Writing,Operations;Management;Scaling;Research,ISTJ;ENTP,Run day-to-day operations and improve efficiency.
31,Supply Chain Manager,Excel;Inventory;Logistics;Procurement;SAP;Accounting,Supply Chain;Logistics;Vendors;Operations,ISTJ;ENTP;ESTJ,Manage end-to-end supply chain.
32,Logistics Coordinator,Documentation;Excel;Routing;Tracking;Warehouse;Finance,Logistics;Operations;Vendors;Compliance,ESFJ;ISTJ,Coordinate shipments and warehousing.
33,Procurement Specialist,Compliance;Contracts;Costing;Negotiation;Vendor Management;Creativity,Procurement;Vendors;Cost;Leadership;Operations,ENTP;ESTJ,Source goods/services and negotiate deals.
34,Hotel Manager,Budgeting;Front Office;Housekeeping;Operations;Revenue;Public Speaking;Sales,Hospitality;Service;Operations;Leadership;Sales,ESTJ;ENFP,Manage hotel departments and guest satisfaction.
35,Chef,Cooking;Creativity;Inventory;Menu Planning;Teamwork;Anatomy;Budgeting;Pharmacology,Food;Creativity;Operations;Teaching;Strategy,ENTP;ENFP;ESFJ,Prepare dishes and manage kitchen operations.
36,Event Planner,Budgeting;Coordination;Creativity;Negotiation;Vendor Management;Communication,Events;Creativity;Ops;Research,ENTP;ENFJ;INTP,Plan and execute events.
37,Travel Consultant,Customer Service;GDS;Geography;Itineraries;Sales;Law;Supply Chain;Writing,Travel;Service;Sales;Operations,INTP;ESFJ;ENTP,Design travel plans and handle bookings.
38,Architect,3D Modeling;Building Codes;Design;Presentation;Project Management;PowerPoint;Sales,Architecture;Design;Construction;Leadership,ISTJ;INFJ;ENFP,Design buildings and manage projects.
39,Civil Engineer,AutoCAD;Contracts;Estimation;QA/QC;Structures;Finance,Construction;Infrastructure;Project;Operations,ISTJ;ESTJ,Plan and oversee civil works.
40,Environmental Scientist,Data Analysis;Field Work;GIS;Policy;Sampling;Digital Marketing;Hospitality;Photography,Environment;Research;Sustainability;Compliance;Operations,ISTJ;INTJ,Study environmental impacts and mitigation.
41,Agronomist,Extension;Field Trials;Irrigation;Pest Control;Soil Science;ERP;Graphic Design;Quality Control,Agriculture;Field;Research;Sales,ENFP;ISFJ;ISTJ,Optimize crop production and advise farmers.
42,Social Worker,Casework;Coordination;Counseling;Documentation;Empathy;Clinical Diagnosis;Negotiation;Public Speaking,NGO;Community;Service;Compliance,ENFJ;INTP;ISTJ,Support individuals and communities.
43,NGO Program Manager,Budgeting;Coordination;Grant Writing;Monitoring & Evaluation;Program Design;Finance;Leadership,NGO;Projects;Public;Service,INTP;ESTJ,Manage social programs and partnerships.
44,Sports Coach,Assessment;Coaching;Communication;Fitness;Motivation;First Aid,Sports;Training;Mentorship;Creativity,ESTJ;ESFJ;INTP,Train athletes and plan sessions.
45,Pilot,Aviation;Checklists;Communication;Instrumentation;Navigation;Logistics,Aviation;Safety;Precision;Creativity;Service,INTP;ENTP;ESFJ;ESTJ,Operate aircraft safely and efficiently.
46,Merchant Navy Officer,Compliance;Engine Ops;Navigation;Safety;Teamwork;Excel;Policy,Maritime;Operations;Safety;Leadership;Research,ESTJ;INTP;ENTJ,Operate ships and manage onboard operations.
47,Investment Analyst,Accounting;Finance;Financial Modeling;Presentation;Research;CRM,Markets;Analysis;Strategy;Field;Operations,ESTJ;ENTP;INTJ;ESFJ,"Analyze companies, build models, and recommend investments."
48,Accountant,Compliance;ERP;Excel;Reconciliation;Taxation;Creativity,Compliance;Reporting;Detail,INTP;ISTJ;ESTJ;ESFJ,"Prepare financial statements, manage taxes and compliance."
49,Financial Planner,Advisory;Excel;Risk Management;Sales;Wealth Management;Counseling,Client;Planning;Finance;Field,ISTJ;ESFJ;INTP,"Advise clients on investments, insurance, and goals."
50,Risk Analyst,Excel;Governance;Reporting;Risk Management;Statistics,Risk;Governance;Data;Sales;Creativity,ISTJ;ENTP;ESTJ,Quantify and manage financial/operational risks.
51,Economist,Econometrics;Policy;R;Research;Writing;Clinical Diagnosis;Critical Thinking,Research;Policy;Data,ESTJ;ESFJ;INTJ,Study economic trends and evaluate policies.
52,Doctor (General Practitioner),Anatomy;Clinical Diagnosis;Communication;Patient Care;Pharmacology;Drafting;Foreign Language;PowerPoint,Healthcare;People;Service;Leadership,ISTJ;INTP;ENTP;INFJ,Diagnose and treat common illnesses; coordinate care.
53,Surgeon,Asepsis;Decision Making;Documentation;Surgery;Teamwork;Procurement,Healthcare;Precision;Emergency;Field;Research,ENTP;ESTJ;ENFP,Perform surgical procedures and manage perioperative care.
54,Nurse,Documentation;Empathy;Medication;Teamwork;Vitals;Creativity,Care;Healthcare;Service;Creativity,ESTJ;INTP,Provide nursing care and coordinate with healthcare teams.
55,Pharmacist,Counseling;Dispensing;Documentation;Inventory;Regulations;Drafting;Problem Solving,Healthcare;Compliance;Service,INTJ;ESFJ,Dispense medications and advise on safe usage.
56,Physiotherapist,Anatomy;Assessment;Counseling;Exercise Therapy;Rehabilitation;Excel;Graphic Design,Care;Movement;Health;Strategy,ISTJ;ENFP;INTP,Help patients recover mobility and function.
